"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Gare de Lyon - Van Gogh","48,843839785643","2,3704450240357",10,10,0
"Place de la Nation - Picpus","48,846821681548","2,4001130461693",9,3,6
"Pirogues de Bercy - Libourne","48,832308","2,38637",13,13,0
"Porte de Charenton","48,8312401058564","2,39891074597836",13,0,13
"Château de Vincennes","48,8442319325566","2,43920953770918",16,15,1
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",29,20,9
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",8,6,2
"Porte d'Ivry","48,8217687475965","2,36887067556381",27,19,8
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557",9,6,3
"Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",25,25,0
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",15,0,15
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",15,15,0
"Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",13,10,3
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",13,8,5
"Jean Moulin - Place Victor et Hélène Basch","48,82764910241","2,3261967301369",10,10,0
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",11,5,6
"Galilée - Kléber","48,8674118657137","2,29078138011482",10,10,0
"Reims - Raymond Pitet","48,8888","2,296319",15,15,0
"Place Saint-Ferdinand","48,8781552978974","2,28851804786494",15,15,0
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",24,24,0
"Diane Arbus","48,898800717199","2,3524022474885",15,15,0
"Crimée - Ourcq","48,8941041403163","2,37294608846728",10,10,0
"Cambrai - Benjamin Constant","48,8959473685135","2,38113380224631",15,15,0
"Belleville - Porte des Lilas","48,8766039189276","2,40476969112948",11,11,0
"Delphine Seyrig - Général Leclerc","48,8939239630579","2,39790290594101",14,14,0
"Grands Moulins de Pantin","48,8973836972023","2,39599853754044",10,10,0
"Saint-Blaise - Mouraud","48,8569617759782","2,40869477391243",1,1,0
"Place du Maquis du Vercors","48,8773215794936","2,40837827324867",10,10,0
"Porte de Bagnolet","48,864707139123","2,40834463734961",11,11,0
"Cours de Vincennes - Davout","48,847238029966","2,4107042336225",13,9,4
"Wilson - Landy","48,9151672622135","2,35763322561979",10,10,0
"Victor Hugo - Magasins Généraux","48,9032814011268","2,36807238310575",5,5,0
"Place de l'Europe - Alfortville","48,7891370240584","2,42848008871079",5,1,4
"Place Jean Ferrat","48,8184945213025","2,37441748380661",9,3,6
"Stalingrad - Germaine Tailleferre","48,8025720048132","2,37866912037134",12,7,5
"Karl Marx","48,7845279372932","2,36466679794556",8,5,3
"Stalingrad - Henri Luisette","48,7836309245659","2,36693594676193",8,7,1
"Montparnasse -  Square Ozanam","48,843310567822","2,3265242949128",10,10,0
"Gare Saint-Lazare - Isly","48,8747776776213","2,32651580478466",6,6,0
"Batignolles - Place de Clichy","48,883474535757","2,326493114233",15,15,0
"Marignan - Champs-Elysées","48,869495661232","2,3066138139003",15,15,0
"Berri - Haussmann","48,8747460473571","2,30829533189535",14,14,0
"Arsène Houssaye - Friedland","48,874510616163","2,2994716674148",11,11,0
"Taitbout - La Fayette","48,8733298891997","2,33526259660721",9,9,0
"Chaussée d'Antin - Haussmann","48,87243","2,33359",10,10,0
