"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Arche - Léonard de Vinci","48,897909724945","2,23837230436449",13,13,0
"Balzac - Olympes de Gouges","48,7785033248675","2,4006786569953",2,2,0
"Bastille - Biscornet","48,851355779579","2,369220033288",14,9,5
"Berthier - Porte de Clichy","48,894222687781","2,3125872006816",16,7,9
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",12,2,10
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",32,19,13
"Butte aux Cailles - Esperance","48,8275877419095","2,34921511262655",9,5,4
"Cambrai - Benjamin Constant","48,8959473685135","2,38113380224631",13,0,13
"Caulaincourt - Place Constantin Pecqueur","48,8896779050281","2,33817871442611",15,0,15
"Château - Place de Catalogne","48,836805542262","2,3185293003917",14,3,11
"Cimetière de Montmartre","48,886472466142","2,3328901827335",12,2,10
"Clichy - Douai","48,883687771522","2,328063700029",27,10,17
"Dantzig - Lefebvre","48,8301392158676","2,29593403637409",12,11,1
"Dora Maar - Nadia Guendouz","48,905452421305","2,3220406472683",13,13,0
"Ecoles - Carmes","48,8489044479894","2,34734863042831",16,6,10
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",11,2,9
"Edgar Quinet - Raspail","48,8394026667384","2,32971478253603",25,10,15
"Edouard Tremblay - Julian Grimaux","48,781383825117","2,3723508417606",13,9,4
"Epi d'Or - Chevilly","48,781109786782","2,3549050362061",7,5,2
"Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",15,11,4
"Fontainebleau - Edmond Michelet","48,8095643684405","2,3626908659935",11,10,1
"François Debergue - Croix de Chavaux","48,8574217080721","2,4375781416893",8,8,0
"Gare Arcueil - Cachan","48,799824","2,328171",9,9,0
"Gare RER - Malleret-Joinville","48,802936","2,42531",3,1,2
"Gare de Laplace","48,8089319911418","2,33494609594345",12,12,0
"Gare du Nord - Hôpital Lariboisière","48,881949","2,352339",11,0,11
"Gare du Nord - Saint-Vincent de Paul","48,880955741648","2,3524305148385",11,3,8
"Halle Freyssinet - Parvis Alan Turing","48,832846814471","2,3711421713233",8,0,8
"Hôtel de Ville de Chaville","48,8088714909403","2,1881340444088",2,2,0
"Institut du Monde Arabe - Saint-Germain","48,849063299501","2,3558086529374",14,11,3
"Jean Calvin - Tournefort","48,8415885692578","2,34848957508802",13,10,3
"Lacépède - Monge","48,843892865319","2,35196638852358",15,13,2
"Lallier - Trudaine ","48,8810924661796","2,34082248061895",13,0,13
"Lebrun - Colonel Fabien ","48,7826687073315","2,38131780177355",14,8,6
"Montparnasse -  Square Ozanam","48,843310567822","2,3265242949128",6,4,2
Olympiades,"48,826764665199","2,3650860786438",7,4,3
"Paul Klee - Place Augusta Holmes","48,838946417408","2,3704235663953",9,9,0
"Pavé des Gardes - Charles Vaillant","48,81168551728","2,2111820107205",11,8,3
"Pirogues de Bercy - Libourne","48,832308","2,38637",15,10,5
"Place François Mitterand","48,8649278201633","2,44295831769705",12,12,0
"Place Nelson Mandela","48,8978743181806","2,21828207373619",12,12,0
"Place Valhubert","48,844182577315","2,3640366643667",8,7,1
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",24,6,18
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",23,8,15
"Place de Lévis","48,8835468515333","2,31319338083267",13,0,13
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",13,13,0
"Place du Président Salvador Allende","48,8973073103561","2,40079153681279",16,16,0
"Pontoise - La Tournelle","48,850458009188","2,3524542754922",7,0,7
"Porte Pouchet-Bessières","48,8978765","2,3230632",28,22,6
"Porte de Clichy - Place des Nations Unies","48,8967372633095","2,31054299919639",15,0,15
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",45,41,4
"Primo Levi - Frigos","48,8309484484602","2,37965351592796",24,11,13
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557",32,29,3
"Sablons - Georges Mandel","48,863875","2,28189",14,14,0
"Square d'Anvers","48,882633484311","2,3448844062122",14,5,9
"Stalingrad - Germaine Tailleferre","48,8025720048132","2,37866912037134",3,0,3
"Terroirs de France - Lheureux","48,8321202707484","2,38861810415983",6,4,2
"Ventadour - Opéra","48,866810653323","2,3343884482519",14,8,6
"Victor Hugo - Magasins Généraux","48,9032814011268","2,36807238310575",12,12,0
"Village Saint-Paul","48,8526398666248","2,36073017120361",12,3,9
